sentiment,top_themes,pain_points,delighters,suggested_actions,summary,app,sample_id
positive,"[{'theme': 'i like it is really good it is very secure and fast makes it easier for us to communicate with friends and family members not able to use saying use another number whatsapp', 'polarity': 'mixed', 'evidence': []}]",['I like it is really good it is very secure and fast makes it easier for us to communicate with friends and family members not able to use saying use another number whatsapp me ek sath kai ya ek download lagakara'],['it cant wait to see'],"[{'owner': 'Engineering', 'action': 'Optimize to reduce lag', 'priority': 'P1'}]",It's a good app but it's not as good as it should be.,WhatsApp,14
negative,"[{'theme': 'i cant delete my profile impersonating really frustrating i cant login in this app recently there have been a lot of posts where everyone is saying that their x account has been', 'polarity': 'mixed', 'evidence': []}]","[""I can't delete my profile impersonating really frustrating I can't login in this app recently there have been a lot of posts where everyone is saying that their x account has been suspended without any warning this is very sad they suspended my account without specifying for what I never poster""]",['i like it'],"[{'owner': 'Engineering', 'action': 'Fix login/auth issues', 'priority': 'P0'}]","Despite the fact that it's a good app, it's not as good as others have rated it.",Twitter,15
negative,"[{'theme': ""i don't understand how im suppose to work it another garbage app don't waste your time terrible customer service when you see nothing but the media reporting their own political believes rather than give facts"", 'polarity': 'mixed', 'evidence': []}]","[""i dont understand how im suppose to work it another garbage app don't waste your time terrible customer service when you see nothing but the media reporting their own political believes rather than give facts i really like this app but 75 of the stories it provides are amercian which is useless to""]",['flipboard'],[],Flipboard is a great way to keep up with the news and trending topics worldwide,Flipboard,16
negative,"[{'theme': 'gcs are very important for me in school and scholarships', 'polarity': 'mixed', 'evidence': []}]",['i hate this ever nice facebook connect disabled my account without proper warning and checksaying advertising when i didnt advertise anything my gcs are very important for me in school and scholarships wat i nablock account ko wala na we'],['Facebook'],[],i hate this ever nice facebook connect disabled my account without proper warning and checksaying advertising when i didnt advertise anything my gcs are very important for me in school and scholarships,Facebook,17
negative,"[{'theme': 'Facebook is a data harvester and an ad serving platform with the guise and veil of being social', 'polarity': 'mixed', 'evidence': []}]",['Facebook is a data harvester and an ad serving platform with the guise and veil of being social they are now asking for my review of the app unbidden instead of taking the feedback that ive calmly offered for the ten years ive been using the'],['facebook is a data harvester and an ad serving platform with the guise and veil of being social'],"[{'owner': 'Design', 'action': 'Improve UI clarity/navigation', 'priority': 'P2'}]",Facebook is a data harvester and an ad serving platform with the guise and veil of being social they are now asking for my review of the app unbidden instead,Facebook,18
negative,"[{'theme': 'cha', 'polarity': 'mixed', 'evidence': []}]",['I have to deal with the pain of switching in addition your subscription charges sales tax when none of my other subscriptions do it keeps dropping my saved material paid version is too expensive for a 3rd world country like Brazil review your policy and your moral values inclusion is key theres a world'],['the security features'],"[{'owner': 'Product', 'action': 'Improve subscription UX/value clarity', 'priority': 'P2'}]",... a slick and easy way to store photos,Dropbox,19
negative,"[{'theme': 'lagi sblumnya gw kasij bintang', 'polarity': 'mixed', 'evidence': []}]",['slow loading when open app only on this app pls bring line lite app'],['good'],"[{'owner': 'Engineering', 'action': 'Optimize to reduce lag', 'priority': 'P1'}, {'owner': 'Engineering', 'action': 'Improve performance/loading', 'priority': 'P1'}]",oke gw kasij bintang 5 karna gw bisa login lagi sblumnya kgk bisa karna,LINE,20
negative,"[{'theme': 'bad', 'polarity': 'mixed', 'evidence': []}]",['bad'],['good for learning'],[],...,Microsoft PowerPoint,21
positive,"[{'theme': 'ai is best ai should be', 'polarity': 'mixed', 'evidence': []}]",['grok ai is the best ai out there should be'],['grok ai is the best ai out there should be'],[],grok ai is the best ai out there should be,Twitter,22
positive,"[{'theme': 'i keep trying to log in after i inpu', 'polarity': 'mixed', 'evidence': []}]",['i keep trying to log in after i inpu'],['i keep trying to log in after i inpu'],[],yaa its good for watching ppt there is just a slight problem with the font the font that was installed is not visible the app is so good if you have no computer,Microsoft PowerPoint,23
positive,"[{'theme': 'i love it', 'polarity': 'mixed', 'evidence': []}]",['i hate you microsoft rip skype you were a legend when the other apps where just getting started this app made my life very simple unlike microsoft teams which gave me'],['good quality'],[],i talk to my friends all the time and it has such good quality 55 still have working Skype lmao my mother doesnt have w fi so this little baby helps,Skype,24
negative,"[{'theme': 'account cancelled', 'polarity': 'mixed', 'evidence': []}]",['i want account cancelled'],['i want account cancelled'],[],i want account cancelled,Dropbox,25
positive,"[{'theme': 'whatsapp is very good', 'polarity': 'mixed', 'evidence': []}]",['I found it annoying when i want to add music to status videos'],['good page'],[],good thinking good page my whatsapp is very slow i need more information about that very fast and low data roaming i am so comfortable with it the app has really improved this app is,WhatsApp,26
negative,"[{'theme': 'lags a lot on the phone even when posting videos it cant post 4k videos besides the app works very slowly some more changes should be made inside the app while youtube facebook', 'polarity': 'mixed', 'evidence': []}]",['lags a lot on the phone even when posting videos it cant post 4k videos besides the app works very slowly some more changes should be made inside the app while youtube facebook instagram work perfectly on my phone whenever i download tiktok apps th'],['i like it'],"[{'owner': 'Engineering', 'action': 'Improve performance/loading', 'priority': 'P1'}, {'owner': 'Engineering', 'action': 'Optimize to reduce lag', 'priority': 'P1'}]",i gave it 5 stars cuz it has been a very efficient and useful app tho i downloaded this app to use but i didnt get any peace of mind when using,TikTok,27
positive,"[{'theme': 'ninjago dragons rising', 'polarity': 'mixed', 'evidence': []}]",['i hate this app'],['ninjago dragons rising'],[],The best app to watch new drama episode to watch stranger things the worst app in the world,Netflix,28
negative,"[{'theme': 'instagram i am disappointed with instagram my account was disabled without any clear reason even though i have always followed the rules i have never posted inappropriate content sent abusive messages or engaged', 'polarity': 'mixed', 'evidence': []}]",['i am disappointed with instagram my account was disabled without any clear reason even though i have always followed the rules i have never posted inappropriate content sent abusive messages or engaged in any harmful activity despite being a genuine user my account was suddenly banned and i was given no proper'],['instagram'],"[{'owner': 'Design', 'action': 'Improve UI clarity/navigation', 'priority': 'P2'}]","Despite its lack of a clear explanation, Instagram's instagram app is a sluggish and unreliable one.",Instagram,29
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]",['ad after disconnecting the app'],['great app'],[],This app is very useful for file transfer from android to pc just open pc dot ushareit dot com scan qr code and select the files then transfer,SHAREit,30
negative,"[{'theme': 'instagram takes my business page down', 'polarity': 'mixed', 'evidence': []}]",['instagram takes my business page down not downloading for me greetings instagram team my account yourusername has been deactivated and i have tried every possible way but not able to get it back and i believe this is a mistake from your side as i have'],['instagram is very nice app i have ever seen in this world but i dont understand why instagram takes my business page down not downloading for me greetings instagram team my account yourusername has been deactivated and i have tried every possible way but not'],[],instagram is very nice app i have ever seen in this world but i dont understand why instagram takes my business page down not downloading for me greetings instagram team my,Instagram,31
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]",['i want to open whatsapp'],['good'],[],Whatsapp is a good app for studying and business,WhatsApp,32
negative,"[{'theme': 'lags a lot in calls', 'polarity': 'mixed', 'evidence': []}]",['lags a lot in calls'],['i love everything about skype but other than that actually it usually lags a lot in calls with high quality wifi great app with unique features cant process payments and has no customer support'],"[{'owner': 'Engineering', 'action': 'Optimize to reduce lag', 'priority': 'P1'}]",Can't process payments and has no customer support,Skype,33
positive,"[{'theme': 'app kar k delete kar chuka hun kyu ki jab is app ka kam hota hai to rakhta hun', 'polarity': 'mixed', 'evidence': []}]",['Very nice and it really helps ultra fastest beest app for data transfer in 2026 notifications on random nonsense like what is this best helpful and reliable i try everything and couldnt connect to another phone dont forget to download shareit helpful app i like it at least it transfers files i'],['it transfers files'],[],Very nice and it really helps ultra fastest beest app for data transfer in 2026 notifications on random nonsense like what is this best helpful and reliable i try everything and couldnt connect to another,SHAREit,34
positive,"[{'theme': 'great game cant stop playing love this game so mind relaxing fun left over moves should be add to next level addictive fun and challenging this saga game is soooo amazing the levels are just', 'polarity': 'mixed', 'evidence': []}]",['ad blockers'],['great game cant stop playing love this game so mind relaxing fun left over moves should be add to next level addictive fun and challenging this saga game is soooo amazing the levels are just so up my ally and its the best mind game ever keeps you intune with the brain'],[],This saga game is a great game for all.,Candy Crush Saga,35
negative,"[{'theme': 'i like it', 'polarity': 'mixed', 'evidence': []}]","[""It's like 10 seconds of playing and 2 minutes of ads not fun at all but time you fi""]",['the call quality is great ive have never missed a call cannot view links people send me please fix its ok for call wen network is giving you good vibes experience of playing the game its like 10 seconds of playing and 2 minutes of ads not fun at all but time you fi'],"[{'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]",It's a good app but it's not as good as it should be.,Facebook Messenger,36
negative,"[{'theme': ""i don't like microsoft"", 'polarity': 'mixed', 'evidence': []}]",['i dictate using word but sometimes dictation doesnt work and this message appears check network connection when im already connected i have updated the mobile and rebooted and updated the app on the play store still the app is not working the best microsoft app i cant update my word'],['i love microsoft'],"[{'owner': 'Engineering', 'action': 'Investigate update regressions', 'priority': 'P1'}]",i dictate using word but sometimes dictation doesnt work and this message appears check network connection when im already connected i have updated the mobile and rebooted and updated the app on the,Microsoft Word,37
negative,"[{'theme': 'not received my call and sms laggy app', 'polarity': 'mixed', 'evidence': []}]",['not received my call and sms laggy app also had to disable notifications since my phone was notifying me for every message received while chatting'],['good'],"[{'owner': 'Engineering', 'action': 'Optimize to reduce lag', 'priority': 'P1'}]",microsoft has better to give this great popular pioneering app to another great company to maintain if it couldnt manage such a respectful pioneer appropriately millions of voters have given skype an average score,Skype,38
positive,"[{'theme': 'status', 'polarity': 'mixed', 'evidence': []}]",['status'],['status'],[],status,WhatsApp,39
positive,"[{'theme': 'g', 'polarity': 'mixed', 'evidence': []}]",['i cant find anything'],['g'],[],g,SHAREit,40
positive,"[{'theme': 'trump bashing is getting old', 'polarity': 'mixed', 'evidence': []}]","[""i wish i wouldn't have to start over my scrolling if i accidentally hit the back button is there a way to stop that the ads and videos ruined it khuni bbv vv bcbennington n""]",['good news and articles'],"[{'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}, {'owner': 'Design', 'action': 'Improve UI clarity/navigation', 'priority': 'P2'}]",Google's latest app is a slick and entertaining way to get your message across,Flipboard,41
positive,"[{'theme': 'i love it cuz my key is 8 wonderful i know the backstory but good grief is the game good fun game and you can play offline this is very wonderful game l ever seen', 'polarity': 'mixed', 'evidence': []}]",['i love it cuz my key is 8 wonderful i know the backstory but good grief is the game good fun game and you can play offline this is very wonderful game l ever seen its good and realistic this is my favourite game before this is a very beautiful game 3d mid'],['great game as well as the sequal you guys are amazing'],[],i love it cuz my key is 8 wonderful i know the backstory but good grief is the game good fun game and you can play offline this is very wonderful game l ever seen,Subway Surfers,42
positive,"[{'theme': 'facebook is good', 'polarity': 'mixed', 'evidence': []}]",['i hate the part that i cant save a video'],['facebook is good and its very important to use user friendly just change password regularly to enhance security i love the application i hope this update solve the self refreshing of feedswhy cant i maintain the same page after watching reels i hate the part that i cant save'],[],Facebook is a good app for a simple and easy way to keep your Facebook page fresh.,Facebook Lite,43
positive,"[{'theme': 'game', 'polarity': 'mixed', 'evidence': []}]",['Too hard'],['i like this game btw why you guys mostly add female characters on the game dude guys we dont even use them and most of the subway surfers players are boys not girls its a very nice game but too hard but i like hard and i got the n'],[],"Despite its lack of a multiplayer option, this game is a great way to get bored.",Subway Surfers,44
negative,"[{'theme': 'i hate how it was hard to log in to my account i try to created new account but it said theres something wrong always it getting annoying its a best app so far cant', 'polarity': 'mixed', 'evidence': []}]","[""it keeps rejecting my attempts at logging back into my account after changing my password it doesn't let me change my username on the mobile app and it doesn't let me create new accounts don't know if its a bug only on my side but it only lets me do""]",['i hate how it was hard to log in to my accounti try to created new account but it said theres something wrong always it getting annoying its a best app so far cant get into it for my son this would be another app for chatting kind of a app for comunic'],[],It's a good app but it's not a good app for chatting,Twitter,45
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]",['i can edit docx and have the app read most excell'],['good'],[],This is a very good app you should try it great resource providing you fact check the answers i started using microsoft word since i was 4 and it felt awesome i found out that,Microsoft Word,46
positive,"[{'theme': 'game', 'polarity': 'mixed', 'evidence': []}]","[""I'm not sure what's wrong with this game. I'm not sure what's wrong with it. I'm not sure what's wrong with it. I'm not sure what's wrong with it. I'm not sure what's wrong with it""]",['very fun to kill time very satisfied love the game nice game for time pass best way to pass free time very fantastic game'],[],"The game is a bit slow, but it's fun and addictive.",Candy Crush Saga,47
positive,"[{'theme': 'Candy crush is easy', 'polarity': 'mixed', 'evidence': []}]",['i hate it'],['Candy crush is easy'],[],"Candy crush is a great game, but it's not the only one that's a little slow.",Candy Crush Saga,48
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]","[""It's a little slow but it's fun""]",['good graphics good challenges good changes this game is wonderful how to connect facebook id i have lot of things in the account this is too good and it is also an offline game so i like this game i got 1b keys and 1b coins btw the new update'],"[{'owner': 'Engineering', 'action': 'Improve performance/loading', 'priority': 'P1'}]",This game is awesome,Subway Surfers,49
negative,"[{'theme': 'i have added real madrid to my favorite but hardly theres any news', 'polarity': 'mixed', 'evidence': []}]",['i have added real madrid to my favorite but hardly theres any news'],['i like the soccer coverage'],[],i have added real madrid to my favorite but hardly theres any news,Flipboard,50
negative,"[{'theme': 'whatsapp is account ban whatsapp is not on', 'polarity': 'mixed', 'evidence': []}]","[""I'm using an iphone x i'm not using any vpn and i have never used any modified or unofficial versions of whatsapp""]",['whatsapp'],[],Whatsapp is account ban whatsapp is not on plzz on the whatsapp hacker issue my whatsapp use hacker continue 1621 parson use my id my,WhatsApp,51
positive,"[{'theme': 'syncing', 'polarity': 'mixed', 'evidence': []}]",['Getting better but continuous camera uploads is buggy as of last update took a photo and openedned dropbox expecting the photo to be uploaded or in a state of being uploaded it was neither closed down app and opened it up again this time it recognized my photo and uploaded it'],['a good app'],"[{'owner': 'Engineering', 'action': 'Investigate update regressions', 'priority': 'P1'}, {'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]",Getting better but continuous camera uploads is buggy as of last update took a photo and openedned dropbox expecting the photo to be uploaded or in a state of being uploaded,Dropbox,52
positive,"[{'theme': 'very simple and easy to use its a great app i like it much very important to have on your mobile revin cu multe detalii its easy simple and the best app to use in editing and', 'polarity': 'mixed', 'evidence': []}]","[""I can't open it in the second time always very simple and easy to use its a great app i like it much very important to have on your mobile revin cu multe detalii its easy simple and the best app to use in editing and creating of documents anytime with your phone helped me""]",['i think word maintains the future didnt want to pay for it happy with the application i cant open it in the second time always very simple and easy to use its a great app i like it much very important to have on your mobile revin cu multe detalii its easy'],[],i think word maintains the future didnt want to pay for it happy with the application i cant open it in the second time always very simple and easy to use its a great,Microsoft Word,53
negative,"[{'theme': 'your social and messaging app has been used by all agesgenerations please keep on making sure that younger users are safe from adult contentspredators language problem', 'polarity': 'mixed', 'evidence': []}]","[""i can't post more video maybe fb can add what discord has gif cover photobackground photo or gif cam be used for gamers like meus thanks fb your social and messaging app has been used by all agesgenerations please keep on making""]",['your social and messaging app has been used by all agesgenerations please keep on making sure that younger users are safe from adult contentspredators language problem cant convert hindi to english is problem i am facing too many errors lately so'],[],...,Facebook,54
positive,"[{'theme': 'love', 'polarity': 'mixed', 'evidence': []}]","[""i can't find my phone""]",['great communication system'],[],Best app for chatting with friends and family,Facebook Messenger,55
positive,"[{'theme': 'gre', 'polarity': 'mixed', 'evidence': []}]",['i face problem with using this app i try to go through but it didnt work very good amazing apps this is fantastic app for data transfer doesnt work offline despite several attempts between an iphone and an android phone app gets stuck and unusable if there is no internet the'],['great app'],[],i face problem with using this app i try to go through but it didnt work very good amazing apps this is fantastic app for data transfer doesnt work offline despite several attempts between an,SHAREit,56
negative,"[{'theme': 'i lost my account', 'polarity': 'mixed', 'evidence': []}]","[""I tried to sign into some games and it didn't work""]",['itsign up'],[],idline pay voom if i could rate this 0 stars i would it just randomly stopped working i linked my phone number i literally have proof of the confirmation,LINE,57
negative,"[{'theme': 'my video is not viral please my all videos go viral please my account go unfreeze please', 'polarity': 'mixed', 'evidence': []}]",['my video is not viral please my all videos go viral please malikfahad5396 is my account the app is lagging not posting my videos my phone is ok but when when my video is not viral please my all videos go viral please my all videos go viral please my all'],['my phone is ok but when my phone is ok'],"[{'owner': 'Engineering', 'action': 'Optimize to reduce lag', 'priority': 'P1'}]",tiktok is very good app for us but my video is not viral please my all videos go viral my account go unfreeze please malikfahad5396 is my account the,TikTok,58
positive,"[{'theme': 'i love the versatility of this app from sending large documents for work to sharing highquality photos with family it handles it all smoothly the status feature is a fun way to share updates and the desktop', 'polarity': 'mixed', 'evidence': []}]","[""i can't add or remove a member""]","[""it's good but im having problem with this app when im an admin of the group im not bee able to add or remove a member i love the versatility of this app from sending large documents for work to sharing highquality photos with family it handles it all smoothly the status feature""]","[{'owner': 'Engineering', 'action': 'Investigate update regressions', 'priority': 'P1'}]",a good app but i have problem with this app when i am an admin of the group im not bee able to add or remove a member i love the versatility of,WhatsApp,59
negative,"[{'theme': 'this app is not helpful but just for the sake of watching and seeing how the tiktok goes like and seeing some fun video chat with all of the funs thanks god bless please add live', 'polarity': 'mixed', 'evidence': []}]",['this app is not helpful but just for the sake of watching and seeing how the tiktok goes like and seeing some fun video chat with all of the funs thanks god bless please add live in pakistan on pakistan account the app isnt what it used to'],['this app is not helpful but just for the sake of watching and seeing how the tiktok goes like and seeing some fun video chat with all of the funs thanks god bless please add live in pakistan on pakistan account the app isnt what it used to'],[],This app isn't helpful but just for the sake of watching and seeing how the tiktok goes like and seeing some fun video chat with all of the funs thanks god bless please,TikTok,60
negative,"[{'theme': 'i need access to my facebook messenger on my mobile', 'polarity': 'mixed', 'evidence': []}]",['y'],['y'],[],a meta issue,Facebook Messenger,61
negative,"[{'theme': 'bugs out a lot and is very sensitive to about anything', 'polarity': 'mixed', 'evidence': []}]",['it bugs out a lot and is very sensitive to about anything'],['good'],[],a useful app for using wifi to communicate send photos and callvideo unfortunately it bugs out a lot and is very sensitive to about anything,Skype,62
positive,"[{'theme': 'tiktok i want my account back tiktok i want my account back i want my account back i hate tiktok', 'polarity': 'mixed', 'evidence': []}]",['they are letting 5 year olds on this app and even 36 year olds unbelievable still not letting me in because i was born in 2017 february unbelievable you guys should just quit the app banned me from live so am reporting the tiktok and i have 100 followers'],['very good keep on the good work my fevrate apps hello tik tok creator i get blue tick in my tik to account im very excited i love you tik tok family its too nice i like it lovely platform aspeacly when your bored'],"[{'owner': 'Design', 'action': 'Improve UI clarity/navigation', 'priority': 'P2'}]","Despite its flaws, the app is a good way to get your kids engaged.",TikTok,63
negative,"[{'theme': 'useless platform the system they have made to earn their money is completely useless because they want to keep the money earned by the users which is what is happening to me the adds are crazzzzy', 'polarity': 'mixed', 'evidence': []}]",['a useless platform the system they have made to earn their money is completely useless because they want to keep the money earned by the users which is what is happening to me the adds are crazzzzy no to explore the app and its feature to much going on in app too many ads very'],['ad'],"[{'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]",a useless platform the system they have made to earn their money is completely useless because they want to keep the money earned by the users which is what is happening to me the adds are cra,SHAREit,64
negative,"[{'theme': 'id tp ribet bgt masa gabisa registrasi pake nomor hp yaiya bisa', 'polarity': 'mixed', 'evidence': []}]",['it has not been convenient for the past few years and now the app wont even connect why i had no probl'],['the app is very useful'],[],It's a good app but it's not very convenient.,LINE,65
negative,"[{'theme': 'bad at all', 'polarity': 'mixed', 'evidence': []}]","[""It's not working""]",['good'],[],It's a good app but it's not working,Viber,66
positive,"[{'theme': 'yeh facebook bht hi acha hai public communication ok i really like the operation of facebook lite but personal data for users should required more security careto', 'polarity': 'mixed', 'evidence': []}]",['yeh facebook bht hi acha hai public communication ok i really like the operation of facebook lite but personal data for users should required more security careto ensure quality service thanks taylor exquisite app love it bahut bahut badhai'],"[""taylor exquisite app love it bahut bahut badhai ho eid ki marketplace settings sorts and searches don't save properly or even work most of the time notifications also fail seriously the way you keep restrictions on my account is making me angry i cant""]","[{'owner': 'Design', 'action': 'Improve UI clarity/navigation', 'priority': 'P2'}]",yeh Facebook bht hi acha hai public communication ok i really like the operation of facebook lite but personal data for users should required more security careto,Facebook Lite,67
positive,"[{'theme': 'i have to select the correct size of the page', 'polarity': 'mixed', 'evidence': []}]",['i have to select the correct size of the page'],['very nice app i appreciate your job i like using the app and i can access all my documents here it is easy to use no challenges faced when i started using it amazing app i recommend add a major settings of your microsoft word the same way from the pcla'],[],i open the app it takes a full 34 minutes to open,Microsoft Word,68
positive,"[{'theme': 'Candy crush saga', 'polarity': 'mixed', 'evidence': []}]",['i like it'],['Candy crush saga'],[],Candy crush is a fun game that's sure to please fans of the genre.,Candy Crush Saga,69
negative,"[{'theme': 'instagram aa raha hai worst appbetter not install it', 'polarity': 'mixed', 'evidence': []}]",['i really loved insta with all the updates reels and chatting but in my recent week 5 of my accs have been suspended and i had no chance to appeal to 4 i had a new acc and within 24 hours its also suspended i might as well as'],['instagram aa raha hai worst appbetter not install it'],"[{'owner': 'Engineering', 'action': 'Investigate update regressions', 'priority': 'P1'}]",i seriously loved insta with all the updates reels and chatting but in my recent week 5 of my accs have been suspended and i had no chance to appeal to 4,Instagram,70
positive,"[{'theme': 'tiktok is a waste of time', 'polarity': 'mixed', 'evidence': []}]",['shit'],['tiktok is a good app'],[],tiktok is a good app but it's not the best,TikTok,71
negative,"[{'theme': 'i git banned from tiktok when i wasnt doing anything wrong i put my real age and the year i was born but they still kept me out your account was', 'polarity': 'mixed', 'evidence': []}]","[""i git banned from tiktok when i wasn't doing anything wrong i put my real age and the year i was born but they still kept me out your account was permanently banned due to multiple violations of our community guidelines solve this problem i am facing issues with""]",['hateful and disgusting posts'],"[{'owner': 'Design', 'action': 'Improve UI clarity/navigation', 'priority': 'P2'}]","Despite its flaws, tiktok is a good app for a few reasons. It's a good app for a few reasons. It's a",TikTok,72
positive,"[{'theme': 'time pass', 'polarity': 'mixed', 'evidence': []}]","[""It's a good game but it's not very good.""]",['it nice and incredibly game perfect yay like it waw a 1etrtesq nice game and its faster candy crush soda i love it full time pass interesting i truly love this game its relaxing l love this game so much for all the time i'],[],It's a great time pass game.,Candy Crush Saga,73
positive,"[{'theme': ""i don't like that awesome application appreciate it thanks david mathis impossible to remove notifications are disabled banner do you want to install the mobile facebook app etc"", 'polarity': 'mixed', 'evidence': []}]","[""i don't have music stickers when i send a voice record not send and i always face this problem they asked if they could record my audio i dont like that awesome application appreciate it thanks david mathis impossible to remove notifications are disabled banner do you want to install""]","[""i don't have music stickers when i send a voice record not send and i always face this problem they asked if they could record my audio i dont like that awesome application appreciate it thanks david mathis impossible to remove notifications are disabled banner do you want to install""]",[],Facebook is a good app for a few reasons. It's a good app for a few reasons. It's a good app for a few reasons. It',Facebook Messenger,74
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]",['good'],['good'],[],good,Subway Surfers,75
negative,"[{'theme': 'grok is far superior to anything there is out there good better best combined', 'polarity': 'mixed', 'evidence': []}]",['grok is far superior to anything there is out there good better best combined it wont sign me in and im not working with your calendar again i had to sit here for 15 min till i got to the year 1962 and after i got that all done sign me up it went'],['grok is far superior to anything there is out there good better best combined'],[],grok is far superior to anything there is out there good better best combined it won't sign me in and im not working with your calendar again i had to sit here for 15 min,Twitter,76
